,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.013000822067260743,0.003464387384994798,0.004800224304199218,0.0011661631123889927,0.001,0.001,rbf,,"{'svm__C': 0.001, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
1,0.013600683212280274,0.0026533950682910913,0.004600334167480469,0.0008000969935623676,0.001,0.01,rbf,,"{'svm__C': 0.001, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
2,0.014200735092163085,0.00411856260529887,0.0042002201080322266,0.0007483282192290589,0.001,0.1,rbf,,"{'svm__C': 0.001, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
3,0.013200759887695312,0.00444546635200042,0.010600662231445313,0.012738100608726589,0.001,1,rbf,,"{'svm__C': 0.001, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
4,0.02300128936767578,0.019257255882239782,0.026801490783691408,0.018411957205627688,0.001,10,rbf,,"{'svm__C': 0.001, 'svm__gamma': 10, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
5,0.020401144027709962,0.015344986921271614,0.004200267791748047,0.0011663348325485136,0.001,100,rbf,,"{'svm__C': 0.001, 'svm__gamma': 100, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
6,0.014800834655761718,0.0043545839687739105,0.006400346755981445,0.0020591666794184497,0.01,0.001,rbf,,"{'svm__C': 0.01, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
7,0.015401124954223633,0.001019973139442043,0.006000232696533203,0.0006324851073777584,0.01,0.01,rbf,,"{'svm__C': 0.01, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
8,0.029601669311523436,0.030704151591521792,0.006200408935546875,0.000400018706226792,0.01,0.1,rbf,,"{'svm__C': 0.01, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
9,0.016000938415527344,0.001673341257887862,0.006600475311279297,0.0008001208531810178,0.01,1,rbf,,"{'svm__C': 0.01, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
10,0.016800880432128906,0.0018331263415938166,0.005800294876098633,0.0003999710367245498,0.01,10,rbf,,"{'svm__C': 0.01, 'svm__gamma': 10, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
11,0.0496027946472168,0.06520682884538376,0.005800390243530273,0.0007483664507136169,0.01,100,rbf,,"{'svm__C': 0.01, 'svm__gamma': 100, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
12,0.026401567459106445,0.01906517134585243,0.006000328063964844,0.0006324851073777583,0.1,0.001,rbf,,"{'svm__C': 0.1, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
13,0.017201042175292967,0.0020397732545708773,0.006400299072265625,0.0008000373982433936,0.1,0.01,rbf,,"{'svm__C': 0.1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
14,0.029801702499389647,0.02762316945820168,0.006600475311279297,0.0011999925046043503,0.1,0.1,rbf,,"{'svm__C': 0.1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
15,0.022601222991943358,0.011324942061217473,0.00720062255859375,0.001469756036738429,0.1,1,rbf,,"{'svm__C': 0.1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
16,0.01740097999572754,0.0013565153285513434,0.011000728607177735,0.009011594141912998,0.1,10,rbf,,"{'svm__C': 0.1, 'svm__gamma': 10, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
17,0.019401073455810547,0.0038781726516038035,0.00760045051574707,0.001019842216083695,0.1,100,rbf,,"{'svm__C': 0.1, 'svm__gamma': 100, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
18,0.015600919723510742,0.0008000135475042733,0.008000469207763672,0.0036332583335114106,1,0.001,rbf,,"{'svm__C': 1, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
19,0.016600894927978515,0.0017435863594566048,0.009800577163696289,0.0067354254632373736,1,0.01,rbf,,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
20,0.015000867843627929,0.0008944156791001296,0.007400321960449219,0.00431761059271859,1,0.1,rbf,,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.575,0.575,0.55,0.55,0.55,0.5599999999999999,0.012247448713915848,1,0.55625,0.55625,0.5625,0.5625,0.5625,0.5599999999999999,0.003061862178478962
