,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.002969789505004883,0.00011236639051119761,0.0011488437652587891,5.8574277465911885e-05,0.001,0.001,rbf,,"{'C': 0.001, 'gamma': 0.001, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
1,0.00536346435546875,0.0029379989440590486,0.0021683216094970704,0.0021409232916384706,0.001,0.01,rbf,,"{'C': 0.001, 'gamma': 0.01, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
2,0.003427410125732422,0.0012598070712049947,0.001224660873413086,0.00021799848639858803,0.001,0.1,rbf,,"{'C': 0.001, 'gamma': 0.1, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
3,0.0025461673736572265,0.00012210044637913901,0.0038212299346923827,0.004191045747881699,0.001,1,rbf,,"{'C': 0.001, 'gamma': 1, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
4,0.008643054962158203,0.007831320208364306,0.0031524658203125,0.004017990985898812,0.001,10,rbf,,"{'C': 0.001, 'gamma': 10, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
5,0.004265213012695312,0.0035040577068832105,0.0013669490814208984,0.0006034436050363711,0.001,100,rbf,,"{'C': 0.001, 'gamma': 100, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
6,0.007319974899291992,0.009882760915481643,0.0011252403259277345,5.2081140216521945e-05,0.01,0.001,rbf,,"{'C': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
7,0.0025064945220947266,0.0001650997963275028,0.001138019561767578,8.765291666725335e-05,0.01,0.01,rbf,,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
8,0.0024147510528564455,7.634852364528721e-05,0.0012369632720947265,0.00036040191509394457,0.01,0.1,rbf,,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
9,0.0020819187164306642,0.0003844619283365332,0.0009284496307373046,0.00018266002793518242,0.01,1,rbf,,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
10,0.006038188934326172,0.007203363903474771,0.0015782833099365235,0.0009869608674918362,0.01,10,rbf,,"{'C': 0.01, 'gamma': 10, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
11,0.004632377624511718,0.004027367190334563,0.003139781951904297,0.00387214696198507,0.01,100,rbf,,"{'C': 0.01, 'gamma': 100, 'kernel': 'rbf'}",0.5609756097560976,0.5609756097560976,0.55,0.5641025641025641,0.5641025641025641,0.56,0.005191757550824329,1,0.559748427672956,0.559748427672956,0.5625,0.5590062111801242,0.5590062111801242,0.560001855541232,0.0012924234981864715
